Page ID,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library
82362291274,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,14169,94
34848567724,Kyriakos Mitsotakis,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,4641,12
12224403053,Alexis Tsipras,ΣΥ.ΡΙΖ.Α.,2104,39
1572650866310052,Niki Kerameus,Niki Kerameus,1759,28
31895177275,ΣΥ.ΡΙΖ.Α.,ΣΥ.ΡΙΖ.Α.,1439,7
2219917241402396,Γιάννης Μαντζουράνης,Γιάννης Μαντζουράνης,1337,42
111836563539156,Τάκης Θεοδωρικάκος - Takis Theodorikakos,Takis Theodorikakos,1277,32
2369859223330947,Kyriakos Pierrakakis,Kyriakos Pierrakakis,859,18
106460979059304,Στυλιανού Άρης / Stilianou Aris,Στυλιανού Άρης / Stilianou Aris,840,7
2336604626358423,Γιάννης Μελάς,Yiannis Melas,750,15
105222274877224,Sofia Zacharaki,Sofia Zacharaki,704,15
140247186053373,Όλγα Κεφαλογιάννη / Olga Kefalogianni,Όλγα Κεφαλογιάννη / Olga Kefalogianni,703,7
2131206810510315,George Vrettakos,Γιώργος Βρεττάκος,678,13
105087309241429,Αθηνά Λινού Υποψήφια Βουλευτής Βόρειου Τομέα Αθηνών,Αθηνά Λινού,632,28
1200465556797225,Θανάσης Παπαθανάσης,Θανάσης Παπαθανάσης,614,27
106465849031966,ΔΕΔΟΜΕΝΟ,ΔΕΔΟΜΕΝΟ,557,5
309795039074935,Vassilis Kikilias,Vassilis Kikilias,548,5
216089191899991,Νίκος Ανδρουλάκης,ΠΑΣΟΚ - Κίνημα Αλλαγής,528,6
101547001913116,Στέλιος Πέτσας,ΣΤΕΛΙΟΣ ΠΕΤΣΑΣ,522,30
178362315106,European Parliament,European Parliament,512,8
59097279644,Μπάμπης Καραθάνος,XARALAMPOS KARATHANOS,508,11
110940918621535,Sevi Voloudaki,Sevi Amanatidou - Voloudaki,488,29
165710610795923,Δημήτρης Καιρίδης-Dimitris Kairidis,Δημήτρης Καιρίδης-Dimitris Kairidis,480,6
650432894993478,Stavros Kalafatis,Stavros Kalafatis,467,55
193042544144341,Γιώργος Κουμουτσάκος - Giorgos Koumoutsakos,Γιώργος Κουμουτσάκος - Giorgos Koumoutsakos,455,99
102324779466473,Σπύρος Κροκίδης,Σπύρος Κροκίδης,403,29
284294775065460,Konstantinos Kyranakis,Konstantinos Kyranakis,397,4
95960413463,Kostis Hatzidakis,Kostis Hatzidakis,395,67
305998399465211,Νίκος Δένδιας,Νίκος Δένδιας,385,30
109236771962514,Χρήστος Ρόκος- Υποψήφιος Βουλευτής Α Θεσ/νίκης- Σύριζα Προοδευτική Συμμαχία,Χρήστος Ρόκος- Υποψήφιος Βουλευτής Α Θεσ/νίκης- Σύριζα Προοδευτική Συμμαχία,385,23
890040954380363,Kostas Karamanlis,Kostas Karamanlis,384,37
1645903788996329,liberal.gr,liberal.gr,339,2
1753360541589997,Tasos Chatzivasileiou - Τάσος Χατζηβασιλείου,Tasos Chatzivasileiou - Τάσος Χατζηβασιλείου,328,7
133169723044,Katerina Batzeli,Katerina Batzeli,328,3
91654723211,Mihalis Katrinis,Mihalis Katrinis,325,17
641412085923105,Ρένα Καραλαριώτου - Rena Karalariotou,Ρένα Καραλαριώτου - Rena Karalariotou,322,141
500502740051092,Harry Theoharis,Harry Theoharis,322,8
101145635135174,ΝΙΚΗ,ΝΙΚΗ,287,12
111732525529765,Στράτος Σιμόπουλος - Stratos Simopoulos,Stratos Simopoulos,273,7
465833120116712,Kostas Katsafados,Kostas Katsafados,247,7
1392668311007040,Φώτης Χατζηδιάκος,Φώτης Χατζηδιάκος,234,10
886299418239270,Βασίλης Διγαλάκης - Vassilis Digalakis,Βασίλης Διγαλάκης - Vassilis Digalakis,224,4
149478958518030,Θάνος Πλεύρης,Θάνος Πλεύρης,223,5
134552316636,Λευτέρης Αυγενάκης,Λευτέρης Αυγενάκης,220,6
118529577780776,Omiros Tsapalos,Όμηρος Τσάπαλος,220,30
1637375619619220,Άγγελος Αγραφιώτης,Άγγελος Αγραφιώτης,215,6
226397774096827,Εθνική Δημιουργία - Δημιουργία Ξανά,Εθνική Δημιουργία - Δημιουργία Ξανά,215,32
54529589753,ActionAid Hellas,ActionAid Hellas,215,18
317693962454904,Νίνα Γ. Κασιμάτη,Νίνα Γ. Κασιμάτη,214,2
2010823519209234,Katerina Ziouta,Katerina Ziouta,212,17
412343665635401,Giannis Oikonomou,Γιάννης Οικονόμου,208,32
91877963116,WWF Greece,WWF Greece,207,19
1451227988494632,Σκουρολιάκος Πάνος,Πάνος Σκουρολιάκος,202,63
333635613794935,ΜέΡΑ25,ΜέΡΑ25,200,7
175964426091059,Γιάννης Αμανατίδης,Γιάννης Αμανατίδης,196,25
338464440097615,Παύλος Εμμ. Μπαριτάκης Υποψηφιος Βουλευτής ΠΑΣΟΚ Ν. Ηρακλείου,Παύλος Εμμ. Μπαριτάκης Υποψηφιος Βουλευτής ΠΑΣΟΚ Ν. Ηρακλείου,195,14
280496205994839,Λευτέρης Βαρουξής - Lefteris Varouxis,Λευτέρης Βαρουξής - Lefteris Varouxis,195,23
196882087005924,Παύλος Γερουλάνος,Παύλος Γερουλάνος,194,4
1928360394080483,Θανάσης Θεοχαρόπουλος,Θανάσης Θεοχαρόπουλος,193,18
323674011757953,Μπάμπης Παπαδημητρίου,Μπάμπης Παπαδημητρίου,189,5
526882294515877,Νίκος Παπαθανάσης - Nikos Papathanasis,Nikos Papathanasis,186,12
279116802432610,Ελληνική Λύση,Ελληνική Λύση,184,4
171526576324330,Marios G. Salmas,Marios G. Salmas,180,6
296107141177054,Alexis Charitsis - Αλέξης Χαρίτσης,Αλέξης Χαρίτσης,178,39
344651032924154,Άννα Ροκοφύλλου - Anna Rokofyllou,Άννα Ροκοφύλλου - Anna Rokofyllou,176,11
1489639131352219,Ζωή Κωνσταντοπούλου - Zoe Konstantopoulou,Πλεύση Ελευθερίας,170,3
105046432271675,Κωνσταντίνος Κεφαλογιάννης,Κωνσταντίνος Κεφαλογιάννης,169,3
387297434803237,Μάρδας Δημήτριος,Δημήτριος Μάρδας,168,2
187536188017430,Άγγελος Τσιγκρής,Άγγελος Τσιγκρής,167,28
610867129013632,Μάνος Κόνσολας,Μάνος Κόνσολας,164,5
1968012053421354,Φώτης Καρύδας - Fotis Karidas,New Age Communications,164,3
629016523841011,George Katrougalos - Γιώργος Κατρούγκαλος,George Katrougalos - Γιώργος Κατρούγκαλος,162,1
453670504778927,Ευγενία - Τζένη Αρσένη Dr. Eugenia Arsenis,Ευγενία - Τζένη Αρσένη Dr. Eugenia Arsenis,162,15
104944762512920,Στέλιος Αγγελούδης,Στέλιος Αγγελούδης,161,5
1462467174050685,CNN Greece,CNN Greece,157,1
111884348970804,Ράνια Θρασκιά / Rania Thraskia,Ράνια Θρασκιά / Rania Thraskia,148,3
710594356039328,Κώστας Μάρκου βουλευτής Αχαΐας-ΣΥΡΙΖΑ,Κώστας Μάρκου βουλευτής Αχαΐας-ΣΥΡΙΖΑ,148,1
401979686644217,Μίλτος Χρυσομάλλης,Μίλτος Χρυσομάλλης,148,2
192906947432657,Protagon.gr (official),Protagon.gr (official),145,62
1014739958659241,Dimitris Markopoulos,Dimitris Markopoulos,144,44
371369526355978,Δημήτρης Σακελλάρης,Δημήτρης Σακελλάρης,143,13
376701069471661,Παναγιώτης Βλάχος / Panagiotis Vlachos,Panagiotis Vlachos,140,7
751503651885833,Δημήτρης Κούβελας - Dimitris Kouvelas,Δημήτρης Κούβελας - Dimitris Kouvelas,140,2
372067293381433,Χρήστος Γιαννούλης,Χρήστος Γιαννούλης,137,9
1527698557502325,Παναγιώτης Κοκκόρης / Panagiotis Kokkoris,Παναγιώτης Κοκκόρης / Panagiotis Kokkoris,137,4
197636494453073,Μιχάλης Λιβανός,Μιχάλης Λιβανός,137,11
112308058454223,Apostolos R. Spiropoulos,Apostolos R. Spiropoulos,136,4
1129215327249382,Παναγιώτης Νταής,Παναγιώτης Νταής,132,9
352726181581226,Φρόσω Καρασαρλίδου,Φρόσω Καρασαρλίδου,131,26
802017969808347,Γιάννης Μπαλάφας,Γιάννης Μπαλάφας,128,11
100768865939165,Φραγκίσκος Λαμπρινός,Φραγκίσκος Β. Λαμπρινός,126,11
489700481134251,Νεολαία Συριζα - Youth of Syriza,Νεολαία Συριζα,123,13
1748153855406537,vradini.gr,vradini.gr,123,20
110980478628685,Όλγα Πολίτη,Όλγα Πολίτη,122,11
412207436231536,Γιώργος Νικητιάδης,Γιώργος Νικητιάδης,122,2
116819601313359,Χρήστος Σαλαλές,Χρήστος Σαλαλές,117,11
373025059396105,Θάνος Μωραΐτης,Θάνος Μωραΐτης,113,4
486537884740981,Ηρακλής Δρούλιας,Ηρακλής Δρούλιας,112,3
108202487313859,Ο Πολύγραφος,Ο Πολύγραφος,111,2
212250018798244,Νότης Μηταράκης (Notis Mitarachi),ΝΟΤΗΣ ΜΗΤΑΡΑΚΗΣ,108,54
101011924607948,Δόμνα Μιχαηλίδου - Domna Michailidou,Δόμνα Μιχαηλίδου - Domna Michailidou,108,14
100771372008093,powergame.gr,POWERGAME,104,36
376833639613970,Γρηγόρης Τάσιος,Γρηγόρης Τάσιος,103,21
349959315189579,Δημήτρης Οικονόμου,Δημήτρης Οικονόμου,103,5
131551513470,Γιάννης Πλακιωτάκης - Giannis Plakiotakis,Γιάννης Πλακιωτάκης - Giannis Plakiotakis,103,5
156526271054077,Ελένη Μακρή Θεοδώρου,Μακρή-Θεοδώρου Ε.,≤100,86
