Page ID,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library
34848567724,Kyriakos Mitsotakis,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,10467,20
82362291274,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,3652,73
59097279644,Μπάμπης Καραθάνος,XARALAMPOS KARATHANOS,3123,17
216089191899991,Νίκος Ανδρουλάκης,ΠΑΣΟΚ - Κίνημα Αλλαγής,2973,7
12224403053,Alexis Tsipras,ΣΥ.ΡΙΖ.Α.,2921,41
284294775065460,Konstantinos Kyranakis,Konstantinos Kyranakis,2243,8
1572650866310052,Niki Kerameus,Niki Kerameus,1892,36
2369859223330947,Kyriakos Pierrakakis,Kyriakos Pierrakakis,1815,23
111836563539156,Τάκης Θεοδωρικάκος - Takis Theodorikakos,Takis Theodorikakos,1308,39
91654723211,Mihalis Katrinis,Mihalis Katrinis,1237,26
2131206810510315,George Vrettakos,Γιώργος Βρεττάκος,1232,27
1200465556797225,Θανάσης Παπαθανάσης,Θανάσης Παπαθανάσης,1217,33
2219917241402396,Γιάννης Μαντζουράνης,Γιάννης Μαντζουράνης,1175,40
101145635135174,ΝΙΚΗ,ΝΙΚΗ,1121,9
95960413463,Kostis Hatzidakis,Kostis Hatzidakis,872,76
129641880407509,Βασίλης Σπανάκης,Βασίλης Σπανάκης,857,10
412207436231536,Γιώργος Νικητιάδης,Γιώργος Νικητιάδης,762,6
373025059396105,Θάνος Μωραΐτης,Θάνος Μωραΐτης,740,8
106460979059304,Στυλιανού Άρης / Stilianou Aris,Στυλιανού Άρης / Stilianou Aris,739,8
225197477683663,Ρένα Δούρου,Ρένα Δούρου,688,97
1014739958659241,Dimitris Markopoulos,Dimitris Markopoulos,684,53
149478958518030,Θάνος Πλεύρης,Θάνος Πλεύρης,680,15
105087309241429,Αθηνά Λινού Υποψήφια Βουλευτής Βόρειου Τομέα Αθηνών,Αθηνά Λινού,670,25
31895177275,ΣΥ.ΡΙΖ.Α.,ΣΥ.ΡΙΖ.Α.,667,18
105046432271675,Κωνσταντίνος Κεφαλογιάννης,Κωνσταντίνος Κεφαλογιάννης,620,19
641412085923105,Ρένα Καραλαριώτου - Rena Karalariotou,Ρένα Καραλαριώτου - Rena Karalariotou,593,40
106465849031966,ΔΕΔΟΜΕΝΟ,ΔΕΔΟΜΕΝΟ,589,6
526882294515877,Νίκος Παπαθανάσης - Nikos Papathanasis,Nikos Papathanasis,587,13
1489639131352219,Ζωή Κωνσταντοπούλου - Zoe Konstantopoulou,Πλεύση Ελευθερίας,581,7
494931820680985,Σαουλίδης Αντώνης,Αντώνης Σαουλίδης - Δικηγόρος,579,15
401979686644217,Μίλτος Χρυσομάλλης,Μίλτος Χρυσομάλλης,578,7
101011924607948,Δόμνα Μιχαηλίδου - Domna Michailidou,Δόμνα Μιχαηλίδου - Domna Michailidou,564,22
802017969808347,Γιάννης Μπαλάφας,Γιάννης Μπαλάφας,505,17
500502740051092,Harry Theoharis,Harry Theoharis,499,10
109236771962514,Χρήστος Ρόκος- Υποψήφιος Βουλευτής Α Θεσ/νίκης- Σύριζα Προοδευτική Συμμαχία,Χρήστος Ρόκος- Υποψήφιος Βουλευτής Α Θεσ/νίκης- Σύριζα Προοδευτική Συμμαχία,490,22
296107141177054,Alexis Charitsis - Αλέξης Χαρίτσης,Αλέξης Χαρίτσης,479,54
100768865939165,Φραγκίσκος Λαμπρινός,Φραγκίσκος Β. Λαμπρινός,469,21
196882087005924,Παύλος Γερουλάνος,Παύλος Γερουλάνος,468,4
309795039074935,Vassilis Kikilias,Vassilis Kikilias,464,6
101547001913116,Στέλιος Πέτσας,ΣΤΕΛΙΟΣ ΠΕΤΣΑΣ,460,24
134552316636,Λευτέρης Αυγενάκης,Λευτέρης Αυγενάκης,459,7
1968012053421354,Φώτης Καρύδας - Fotis Karidas,New Age Communications,441,8
239059192856378,parapolitika.gr,parapolitika.gr,432,123
333635613794935,ΜέΡΑ25,ΜέΡΑ25,427,10
1451227988494632,Σκουρολιάκος Πάνος,Πάνος Σκουρολιάκος,426,68
105222274877224,Sofia Zacharaki,Sofia Zacharaki,423,7
193042544144341,Γιώργος Κουμουτσάκος - Giorgos Koumoutsakos,Γιώργος Κουμουτσάκος - Giorgos Koumoutsakos,411,101
115065084896053,"Σμαρούλα Μανιάτη υποψήφια βουλευτής Ά Θεσσαλονίκης, Νέα Δημοκρατία",ΣΜΑΡΟΥΛΑ ΜΑΝΙΑΤΗ,406,5
317693962454904,Νίνα Γ. Κασιμάτη,Νίνα Γ. Κασιμάτη,381,3
178362315106,European Parliament,European Parliament,349,11
187536188017430,Άγγελος Τσιγκρής,Άγγελος Τσιγκρής,342,18
54211966212,Οικολόγοι ΠΡΑΣΙΝΟΙ,Οικολόγοι ΠΡΑΣΙΝΟΙ,340,24
886299418239270,Βασίλης Διγαλάκης - Vassilis Digalakis,Βασίλης Διγαλάκης - Vassilis Digalakis,336,9
140247186053373,Όλγα Κεφαλογιάννη / Olga Kefalogianni,Όλγα Κεφαλογιάννη / Olga Kefalogianni,335,4
412343665635401,Giannis Oikonomou,Γιάννης Οικονόμου,333,37
650432894993478,Stavros Kalafatis,Stavros Kalafatis,324,23
1399685456995401,Ιάσονας Φωτήλας,Ιάσονας Φωτήλας,324,3
