Page ID,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library
82362291274,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,21410,113
34848567724,Kyriakos Mitsotakis,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,15042,12
216089191899991,Νίκος Ανδρουλάκης,ΠΑΣΟΚ - Κίνημα Αλλαγής,3052,11
12224403053,Alexis Tsipras,ΣΥ.ΡΙΖ.Α.,2659,41
31895177275,ΣΥ.ΡΙΖ.Α.,ΣΥ.ΡΙΖ.Α.,2120,20
2219917241402396,Γιάννης Μαντζουράνης,Γιάννης Μαντζουράνης,1351,50
1572650866310052,Niki Kerameus,Niki Kerameus,1328,41
309795039074935,Vassilis Kikilias,Vassilis Kikilias,1203,14
111836563539156,Τάκης Θεοδωρικάκος - Takis Theodorikakos,Takis Theodorikakos,1107,35
106465849031966,ΔΕΔΟΜΕΝΟ,ΔΕΔΟΜΕΝΟ,777,7
2131206810510315,George Vrettakos,Γιώργος Βρεττάκος,774,27
105087309241429,Αθηνά Λινού Υποψήφια Βουλευτής Βόρειου Τομέα Αθηνών,Αθηνά Λινού,743,37
412207436231536,Γιώργος Νικητιάδης,Γιώργος Νικητιάδης,737,7
59097279644,Μπάμπης Καραθάνος,XARALAMPOS KARATHANOS,734,13
106460979059304,Στυλιανού Άρης / Stilianou Aris,Στυλιανού Άρης / Stilianou Aris,702,7
1200465556797225,Θανάσης Παπαθανάσης,Θανάσης Παπαθανάσης,696,31
140247186053373,Όλγα Κεφαλογιάννη / Olga Kefalogianni,Όλγα Κεφαλογιάννη / Olga Kefalogianni,690,5
105222274877224,Sofia Zacharaki,Sofia Zacharaki,548,11
284294775065460,Konstantinos Kyranakis,Konstantinos Kyranakis,528,4
102324779466473,Σπύρος Κροκίδης,Σπύρος Κροκίδης,512,32
1645903788996329,liberal.gr,liberal.gr,502,2
91654723211,Mihalis Katrinis,Mihalis Katrinis,463,24
112152255190710,Σοφία Κομηνέα,Σοφία Κομηνέα,455,28
110940918621535,Sevi Voloudaki,Sevi Amanatidou - Voloudaki,454,29
95960413463,Kostis Hatzidakis,Kostis Hatzidakis,453,68
305998399465211,Νίκος Δένδιας,Νίκος Δένδιας,444,32
641412085923105,Ρένα Καραλαριώτου - Rena Karalariotou,Ρένα Καραλαριώτου - Rena Karalariotou,444,159
333635613794935,ΜέΡΑ25,ΜέΡΑ25,442,13
101145635135174,ΝΙΚΗ,ΝΙΚΗ,421,11
500502740051092,Harry Theoharis,Harry Theoharis,406,9
193042544144341,Γιώργος Κουμουτσάκος - Giorgos Koumoutsakos,Γιώργος Κουμουτσάκος - Giorgos Koumoutsakos,394,103
109236771962514,Χρήστος Ρόκος- Υποψήφιος Βουλευτής Α Θεσ/νίκης- Σύριζα Προοδευτική Συμμαχία,Χρήστος Ρόκος- Υποψήφιος Βουλευτής Α Θεσ/νίκης- Σύριζα Προοδευτική Συμμαχία,370,23
134552316636,Λευτέρης Αυγενάκης,Λευτέρης Αυγενάκης,362,6
412343665635401,Giannis Oikonomou,Γιάννης Οικονόμου,337,39
1968012053421354,Φώτης Καρύδας - Fotis Karidas,New Age Communications,330,7
890040954380363,Kostas Karamanlis,Kostas Karamanlis,329,27
100768865939165,Φραγκίσκος Λαμπρινός,Φραγκίσκος Β. Λαμπρινός,313,21
650432894993478,Stavros Kalafatis,Stavros Kalafatis,303,49
149478958518030,Θάνος Πλεύρης,Θάνος Πλεύρης,291,10
101011924607948,Δόμνα Μιχαηλίδου - Domna Michailidou,Δόμνα Μιχαηλίδου - Domna Michailidou,280,19
105046432271675,Κωνσταντίνος Κεφαλογιάννης,Κωνσταντίνος Κεφαλογιάννης,272,10
111732525529765,Στράτος Σιμόπουλος - Stratos Simopoulos,Stratos Simopoulos,268,9
101547001913116,Στέλιος Πέτσας,ΣΤΕΛΙΟΣ ΠΕΤΣΑΣ,262,26
296107141177054,Alexis Charitsis - Αλέξης Χαρίτσης,Αλέξης Χαρίτσης,247,45
323674011757953,Μπάμπης Παπαδημητρίου,Μπάμπης Παπαδημητρίου,245,7
287878625015994,Reader.gr,Reader.gr,244,3
226397774096827,Εθνική Δημιουργία - Δημιουργία Ξανά,Εθνική Δημιουργία - Δημιουργία Ξανά,238,36
131551513470,Γιάννης Πλακιωτάκης - Giannis Plakiotakis,Γιάννης Πλακιωτάκης - Giannis Plakiotakis,237,7
102756369212034,Αδέξιοι,Αδέξιοι,233,2
791103951054350,Yanis Varoufakis - Γιάνης Βαρουφάκης,Yanis Varoufakis - Γιάνης Βαρουφάκης,231,5
187536188017430,Άγγελος Τσιγκρής,Άγγελος Τσιγκρής,226,18
115065084896053,"Σμαρούλα Μανιάτη υποψήφια βουλευτής Ά Θεσσαλονίκης, Νέα Δημοκρατία",ΣΜΑΡΟΥΛΑ ΜΑΝΙΑΤΗ,226,9
447175396055814,Εβίτα Βαρελά - Δικηγόρος,Εβίτα Βαρελά - Δικηγόρος,223,2
371369526355978,Δημήτρης Σακελλάρης,Δημήτρης Σακελλάρης,217,18
372067293381433,Χρήστος Γιαννούλης,Χρήστος Γιαννούλης,216,9
2336604626358423,Γιάννης Μελάς,Yiannis Melas,212,5
111884348970804,Ράνια Θρασκιά / Rania Thraskia,Ράνια Θρασκιά / Rania Thraskia,212,6
1014739958659241,Dimitris Markopoulos,Dimitris Markopoulos,206,39
526882294515877,Νίκος Παπαθανάσης - Nikos Papathanasis,Nikos Papathanasis,206,11
129641880407509,Βασίλης Σπανάκης,Βασίλης Σπανάκης,206,6
344651032924154,Άννα Ροκοφύλλου - Anna Rokofyllou,Άννα Ροκοφύλλου - Anna Rokofyllou,206,16
1451227988494632,Σκουρολιάκος Πάνος,Πάνος Σκουρολιάκος,201,64
373025059396105,Θάνος Μωραΐτης,Θάνος Μωραΐτης,199,3
54529589753,ActionAid Hellas,ActionAid Hellas,199,18
317693962454904,Νίνα Γ. Κασιμάτη,Νίνα Γ. Κασιμάτη,194,2
1753360541589997,Tasos Chatzivasileiou - Τάσος Χατζηβασιλείου,Tasos Chatzivasileiou - Τάσος Χατζηβασιλείου,194,2
280496205994839,Λευτέρης Βαρουξής - Lefteris Varouxis,Λευτέρης Βαρουξής - Lefteris Varouxis,192,35
197636494453073,Μιχάλης Λιβανός,Μιχάλης Λιβανός,189,15
91877963116,WWF Greece,WWF Greece,189,22
376701069471661,Παναγιώτης Βλάχος / Panagiotis Vlachos,Panagiotis Vlachos,189,8
118529577780776,Omiros Tsapalos,Όμηρος Τσάπαλος,184,27
103994666018695,Ανδρεάδης Βασίλης Υποψήφιος Βουλευτής   Α  Θεσσαλονίκης,Andreadis Vasilis,184,3
225197477683663,Ρένα Δούρου,Ρένα Δούρου,180,63
710594356039328,Κώστας Μάρκου βουλευτής Αχαΐας-ΣΥΡΙΖΑ,Κώστας Μάρκου βουλευτής Αχαΐας-ΣΥΡΙΖΑ,179,1
886299418239270,Βασίλης Διγαλάκης - Vassilis Digalakis,Βασίλης Διγαλάκης - Vassilis Digalakis,179,6
2010823519209234,Katerina Ziouta,Katerina Ziouta,175,25
1392668311007040,Φώτης Χατζηδιάκος,Φώτης Χατζηδιάκος,173,10
196882087005924,Παύλος Γερουλάνος,Παύλος Γερουλάνος,173,4
1129215327249382,Παναγιώτης Νταής,Παναγιώτης Νταής,170,11
54211966212,Οικολόγοι ΠΡΑΣΙΝΟΙ,Οικολόγοι ΠΡΑΣΙΝΟΙ,167,10
178362315106,European Parliament,European Parliament,166,12
486537884740981,Ηρακλής Δρούλιας,Ηρακλής Δρούλιας,165,3
165710610795923,Δημήτρης Καιρίδης-Dimitris Kairidis,Δημήτρης Καιρίδης-Dimitris Kairidis,162,5
1928360394080483,Θανάσης Θεοχαρόπουλος,Θανάσης Θεοχαρόπουλος,157,22
465833120116712,Kostas Katsafados,Kostas Katsafados,154,3
629016523841011,George Katrougalos - Γιώργος Κατρούγκαλος,George Katrougalos - Γιώργος Κατρούγκαλος,148,1
2320868628143375,Ευαγγελία-Λίτσα Λιακούλη,Ευαγγελία-Λίτσα Λιακούλη,147,3
494931820680985,Σαουλίδης Αντώνης,Αντώνης Σαουλίδης - Δικηγόρος,146,8
100169441866284,Νικόλαος Καρδούλας,Νικόλαος Καρδούλας,143,2
192906947432657,Protagon.gr (official),Protagon.gr (official),143,35
115887511425581,"Αθανάσιος Μιχαήλ, Υποψήφιος Βουλευτής Β3' Νοτίου Τομέα Αθηνών Ελληνική Λύση",Αθανάσιος Μιχαήλ,141,6
1462467174050685,CNN Greece,CNN Greece,141,2
453670504778927,Ευγενία - Τζένη Αρσένη Dr. Eugenia Arsenis,Ευγενία - Τζένη Αρσένη Dr. Eugenia Arsenis,140,15
157913664236164,Φτακλάκη Παρασκευή  Ελευθερία / Ftaklaki P Eleftheria,Φτακλάκη Παρασκευή  Ελευθερία / Ftaklaki P Eleftheria,140,7
163118984514412,Σόφη Κατσίγιαννη - Sophie Katsigiannis,Σόφη Κατσίγιαννη - Sophie Katsigiannis,139,8
714133898725431,Heracles Xtizoume Mazi,Heracles Xtizoume Mazi,138,2
306140236206706,Κώστας Ζαχαριάδης,Κώστας Ζαχαριάδης,137,6
342254309739851,Σταμάτης Πουλής,Σταμάτης Πουλής,135,10
338018406750552,Νίκος Καραγιαννακίδης,Nikos Karagiannakidis,132,2
168820243214659,Σίμος Κεδίκογλου (Simos Kedikoglou),Σίμος Κεδίκογλου (Simos Kedikoglou),131,6
212250018798244,Νότης Μηταράκης (Notis Mitarachi),ΝΟΤΗΣ ΜΗΤΑΡΑΚΗΣ,131,54
100582149195797,CretaNews.eu,CretaNews.eu,130,7
375824025922589,Dimitris Saltouros - Δημήτρης Σαλτούρος,Dimitris Saltouros - Δημήτρης Σαλτούρος,129,5
802017969808347,Γιάννης Μπαλάφας,Γιάννης Μπαλάφας,129,12
1476211962415668,Μακάριος Λαζαρίδης,Μακάριος Λαζαρίδης,127,7
352726181581226,Φρόσω Καρασαρλίδου,Φρόσω Καρασαρλίδου,121,28
420892144588665,Νικήτας Κακλαμάνης - Nikitas Kaklamanis,Νικήτας Κακλαμάνης - Nikitas Kaklamanis,120,8
112308058454223,Apostolos R. Spiropoulos,Apostolos R. Spiropoulos,119,4
187177148001601,Κωνσταντίνος Καραγκούνης,Κωνσταντίνος Καραγκούνης,119,4
