Page ID,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library
82362291274,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,17116,95
34848567724,Kyriakos Mitsotakis,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,4641,18
12224403053,Alexis Tsipras,ΣΥ.ΡΙΖ.Α.,2382,35
31895177275,ΣΥ.ΡΙΖ.Α.,ΣΥ.ΡΙΖ.Α.,1289,7
111836563539156,Τάκης Θεοδωρικάκος - Takis Theodorikakos,Takis Theodorikakos,1045,30
2369859223330947,Kyriakos Pierrakakis,Kyriakos Pierrakakis,886,25
1572650866310052,Niki Kerameus,Niki Kerameus,885,15
2219917241402396,Γιάννης Μαντζουράνης,Γιάννης Μαντζουράνης,833,29
2336604626358423,Γιάννης Μελάς,Yiannis Melas,694,15
106460979059304,Στυλιανού Άρης / Stilianou Aris,Στυλιανού Άρης / Stilianou Aris,624,7
178362315106,European Parliament,European Parliament,559,8
140247186053373,Όλγα Κεφαλογιάννη / Olga Kefalogianni,Όλγα Κεφαλογιάννη / Olga Kefalogianni,535,9
105222274877224,Sofia Zacharaki,Sofia Zacharaki,517,14
105087309241429,Αθηνά Λινού Υποψήφια Βουλευτής Βόρειου Τομέα Αθηνών,Αθηνά Λινού,513,30
110940918621535,Sevi Voloudaki,Sevi Amanatidou - Voloudaki,498,29
650432894993478,Stavros Kalafatis,Stavros Kalafatis,456,56
193042544144341,Γιώργος Κουμουτσάκος - Giorgos Koumoutsakos,Γιώργος Κουμουτσάκος - Giorgos Koumoutsakos,420,99
106465849031966,ΔΕΔΟΜΕΝΟ,ΔΕΔΟΜΕΝΟ,406,4
95960413463,Kostis Hatzidakis,Kostis Hatzidakis,396,71
500502740051092,Harry Theoharis,Harry Theoharis,371,12
890040954380363,Kostas Karamanlis,Kostas Karamanlis,356,37
305998399465211,Νίκος Δένδιας,Νίκος Δένδιας,351,30
309795039074935,Vassilis Kikilias,Vassilis Kikilias,349,7
59097279644,Μπάμπης Καραθάνος,XARALAMPOS KARATHANOS,329,8
134552316636,Λευτέρης Αυγενάκης,Λευτέρης Αυγενάκης,321,6
2131206810510315,George Vrettakos,Γιώργος Βρεττάκος,319,13
109236771962514,Χρήστος Ρόκος- Υποψήφιος Βουλευτής Α Θεσ/νίκης- Σύριζα Προοδευτική Συμμαχία,Χρήστος Ρόκος- Υποψήφιος Βουλευτής Α Θεσ/νίκης- Σύριζα Προοδευτική Συμμαχία,312,29
91654723211,Mihalis Katrinis,Mihalis Katrinis,299,20
641412085923105,Ρένα Καραλαριώτου - Rena Karalariotou,Ρένα Καραλαριώτου - Rena Karalariotou,293,141
1200465556797225,Θανάσης Παπαθανάσης,Θανάσης Παπαθανάσης,293,27
111732525529765,Στράτος Σιμόπουλος - Stratos Simopoulos,Stratos Simopoulos,291,9
101145635135174,ΝΙΚΗ,ΝΙΚΗ,287,12
412343665635401,Giannis Oikonomou,Γιάννης Οικονόμου,285,37
165710610795923,Δημήτρης Καιρίδης-Dimitris Kairidis,Δημήτρης Καιρίδης-Dimitris Kairidis,281,9
1753360541589997,Tasos Chatzivasileiou - Τάσος Χατζηβασιλείου,Tasos Chatzivasileiou - Τάσος Χατζηβασιλείου,277,7
465833120116712,Kostas Katsafados,Kostas Katsafados,272,8
101547001913116,Στέλιος Πέτσας,ΣΤΕΛΙΟΣ ΠΕΤΣΑΣ,272,26
91877963116,WWF Greece,WWF Greece,253,20
373025059396105,Θάνος Μωραΐτης,Θάνος Μωραΐτης,235,8
129641880407509,Βασίλης Σπανάκης,Βασίλης Σπανάκης,218,9
1928360394080483,Θανάσης Θεοχαρόπουλος,Θανάσης Θεοχαρόπουλος,215,21
226397774096827,Εθνική Δημιουργία - Δημιουργία Ξανά,Εθνική Δημιουργία - Δημιουργία Ξανά,210,36
317693962454904,Νίνα Γ. Κασιμάτη,Νίνα Γ. Κασιμάτη,206,4
149478958518030,Θάνος Πλεύρης,Θάνος Πλεύρης,205,5
