Page ID,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library
34848567724,Kyriakos Mitsotakis,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,9300,14
82362291274,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,8804,60
216089191899991,Νίκος Ανδρουλάκης,ΠΑΣΟΚ - Κίνημα Αλλαγής,2940,5
12224403053,Alexis Tsipras,ΣΥ.ΡΙΖ.Α.,2743,44
59097279644,Μπάμπης Καραθάνος,XARALAMPOS KARATHANOS,2675,9
1572650866310052,Niki Kerameus,Niki Kerameus,1626,23
526882294515877,Νίκος Παπαθανάσης - Nikos Papathanasis,Nikos Papathanasis,1429,11
111836563539156,Τάκης Θεοδωρικάκος - Takis Theodorikakos,Takis Theodorikakos,1342,4
2131206810510315,George Vrettakos,Γιώργος Βρεττάκος,1334,26
109236771962514,Χρήστος Ρόκος- Υποψήφιος Βουλευτής Α Θεσ/νίκης- Σύριζα Προοδευτική Συμμαχία,Χρήστος Ρόκος- Υποψήφιος Βουλευτής Α Θεσ/νίκης- Σύριζα Προοδευτική Συμμαχία,1110,51
1014739958659241,Dimitris Markopoulos,Dimitris Markopoulos,1097,52
101145635135174,ΝΙΚΗ,ΝΙΚΗ,1065,10
118529577780776,Omiros Tsapalos,Όμηρος Τσάπαλος,1062,27
2219917241402396,Γιάννης Μαντζουράνης,Γιάννης Μαντζουράνης,1059,40
91654723211,Mihalis Katrinis,Mihalis Katrinis,1024,26
1489639131352219,Ζωή Κωνσταντοπούλου - Zoe Konstantopoulou,Πλεύση Ελευθερίας,997,8
225197477683663,Ρένα Δούρου,Ρένα Δούρου,971,107
1200465556797225,Θανάσης Παπαθανάσης,Θανάσης Παπαθανάσης,887,34
106460979059304,Στυλιανού Άρης / Stilianou Aris,Στυλιανού Άρης / Stilianou Aris,876,7
115065084896053,"Σμαρούλα Μανιάτη υποψήφια βουλευτής Ά Θεσσαλονίκης, Νέα Δημοκρατία",ΣΜΑΡΟΥΛΑ ΜΑΝΙΑΤΗ,852,6
2369859223330947,Kyriakos Pierrakakis,Kyriakos Pierrakakis,849,23
412207436231536,Γιώργος Νικητιάδης,Γιώργος Νικητιάδης,795,5
494931820680985,Σαουλίδης Αντώνης,Αντώνης Σαουλίδης - Δικηγόρος,773,18
376701069471661,Παναγιώτης Βλάχος / Panagiotis Vlachos,Panagiotis Vlachos,758,11
226397774096827,Εθνική Δημιουργία - Δημιουργία Ξανά,Εθνική Δημιουργία - Δημιουργία Ξανά,750,22
54211966212,Οικολόγοι ΠΡΑΣΙΝΟΙ,Οικολόγοι ΠΡΑΣΙΝΟΙ,662,29
373025059396105,Θάνος Μωραΐτης,Θάνος Μωραΐτης,640,3
309795039074935,Vassilis Kikilias,Vassilis Kikilias,632,6
196882087005924,Παύλος Γερουλάνος,Παύλος Γερουλάνος,620,4
95960413463,Kostis Hatzidakis,Kostis Hatzidakis,618,76
149478958518030,Θάνος Πλεύρης,Θάνος Πλεύρης,606,15
31895177275,ΣΥ.ΡΙΖ.Α.,ΣΥ.ΡΙΖ.Α.,601,14
105046432271675,Κωνσταντίνος Κεφαλογιάννης,Κωνσταντίνος Κεφαλογιάννης,568,30
105087309241429,Αθηνά Λινού Υποψήφια Βουλευτής Βόρειου Τομέα Αθηνών,Αθηνά Λινού,563,27
105222274877224,Sofia Zacharaki,Sofia Zacharaki,556,9
193042544144341,Γιώργος Κουμουτσάκος - Giorgos Koumoutsakos,Γιώργος Κουμουτσάκος - Giorgos Koumoutsakos,543,93
187536188017430,Άγγελος Τσιγκρής,Άγγελος Τσιγκρής,534,18
344651032924154,Άννα Ροκοφύλλου - Anna Rokofyllou,Άννα Ροκοφύλλου - Anna Rokofyllou,526,16
641412085923105,Ρένα Καραλαριώτου - Rena Karalariotou,Ρένα Καραλαριώτου - Rena Karalariotou,505,40
305998399465211,Νίκος Δένδιας,Νίκος Δένδιας,485,6
1451227988494632,Σκουρολιάκος Πάνος,Πάνος Σκουρολιάκος,456,69
296107141177054,Alexis Charitsis - Αλέξης Χαρίτσης,Αλέξης Χαρίτσης,454,54
317693962454904,Νίνα Γ. Κασιμάτη,Νίνα Γ. Κασιμάτη,449,3
102179895818238,George Karagiannis,George Karagiannis,446,4
333635613794935,ΜέΡΑ25,ΜέΡΑ25,431,7
129641880407509,Βασίλης Σπανάκης,Βασίλης Σπανάκης,414,7
1392668311007040,Φώτης Χατζηδιάκος,Φώτης Χατζηδιάκος,401,20
890040954380363,Kostas Karamanlis,Kostas Karamanlis,400,18
1753360541589997,Tasos Chatzivasileiou - Τάσος Χατζηβασιλείου,Tasos Chatzivasileiou - Τάσος Χατζηβασιλείου,398,9
287878625015994,Reader.gr,Reader.gr,386,1
338018406750552,Νίκος Καραγιαννακίδης,Nikos Karagiannakidis,385,2
111176762297235,Φραγκίσκος Παρασύρης - Freddy Parasiris,Φραγκίσκος Παρασύρης - Freddy Parasiris,383,6
