page_id;page_name;disclaimer;amount_spent_eur;date_produced;spend;party1;party2;party
196114277078358;DIE LINKE Land Bremen;DIE LINKE Land Bremen;5716;05/11/2023;5716;;;Lin
152934608113175;FDP Bremen;FDP Bremen;5147;05/11/2023;5147;;;FDP
207429192606075;Grüne Bremen;Grüne Bremen;4605;05/11/2023;4605;;;Grü
2314697952137404;Volt Bremen;Volt Deutschland - Landesverband Bremen;4431;05/11/2023;4431;;;Volt
104052104595148;Senatorin für Gesundheit, Frauen, Verbraucherschutz Bremen;Senatorin für Gesundheit, Frauen und Verbraucherschutz;3040;05/11/2023;3040;;;Sta
524965010906886;SPD Land Bremen;SPD LAND BREMEN;2955;05/11/2023;2955;;;SPD
112326918787579;CDU Bremen;CDU Bremen, Landesverband;2247;05/11/2023;2247;;;CDU
149516825090519;BÜRGER IN WUT Bremen/Bremerhaven;BÜRGER IN WUT Bremen/Bremerhaven;2241;05/11/2023;2241;;;Bürger in Wut
123523341045520;DIE FAMILIENUNTERNEHMER;Die Familienunternehmer;2024;05/11/2023;2024;;;Pol
119717121028852;Rheinland-Pfalz.Gold;Ministerium für Wirtschaft, Verkehr, Landwirtschaft und Weinbau Rheinland-Pfalz;1980;05/11/2023;1980;;;Sta
106626487721376;Amazon Europe;Amazon Europe;1777;05/11/2023;1777;;;0
1718191738408875;CDU Schwachhausen - Bremen;CDU Schwachhausen - Bremen;1680;05/11/2023;1680;;;CDU
641809389224426;Piet Leidreiter;Piet Leidreiter;1626;05/11/2023;1626;;;Bürger in Wut
371028716141;Tobias Huch;Tobias Christoph Huch;1352;05/11/2023;1352;;;FDP
106516184465027;IIIIdieBasis;dieBasis Basisdemokratische Partei Deutschland;769;05/11/2023;769;;;dieBasis
584445455088799;Sozialwahl 2023;Sozialwahl 2023;734;05/11/2023;734;;;0
112695681706961;Jörg Müller-Arnecke;Jörg Müller-Arnecke;570;05/11/2023;570;;;CDU
103445325977929;Dr. Christian Kornek;Dr. Christian Kornek;508;05/11/2023;508;;;CDU
112062055514490;Bremische Bürgerschaft;Bremische Bürgerschaft;482;05/11/2023;482;;;Sta
373965576073037;FDP Bremerhaven;Freie Demokratische Partei (FDP) Kreisverband Bremerhaven;474;05/11/2023;474;;;FDP
103822184707126;Shell Deutschland;Shell Deutschland;428;05/11/2023;428;;;0
145515688966492;SPD Bremen-Stadt;SPD-Un­ter­be­zirk Bre­men-Stadt;409;05/11/2023;409;;;SPD
170688644503;UNICEF Deutschland;UNICEF Deutschland;408;05/11/2023;408;;;Pol
1249025528531105;LV Bremen - Tierschutzpartei;PARTEI MENSCH UMWELT TIERSCHUTZ;362;05/11/2023;362;;;Tierschutzpartei
102169625710148;ClimaClic;Burda Direct GmbH;356;05/11/2023;356;;;0
115430518511470;Jusos Bremen;Jusos Bremen;350;05/11/2023;350;;;SPD
108201222231260;Bremenli Türkiyeliler Ağı;Bremenli Türkiyeliler Ağı;311;05/11/2023;311;;;0
218786540044;WWF Deutschland;WWF Deutschland;306;05/11/2023;306;;;Pol
111501317017740;Motatos Deutschland;Motatos;286;05/11/2023;286;;;0
201065353264638;yello;yello;282;05/11/2023;282;;;0
56497026719;SOS-Kinderdörfer weltweit;SOS-Kinderdörfer weltweit Hermann-Gmeiner-Fonds Deutschland e.V.;272;05/11/2023;272;;;0
22541752487;Greenpeace Deutschland;Greenpeace Deutschland;271;05/11/2023;271;;;Pol
