page_id,page_name,party,disclaimer,amount_spent_eur,number_of_ads_in_library,path,date_produced,spend,party1,party2,source,remove_em
1393410840676760,Seppo Korhonen,MUUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
169238789756946,Olli Hakala,MUUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
311511419451959,Jarno Alastalo,MUUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
210473944067,Euroopan parlamentti - Europaparlamentet,MUUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
135445249836468,Juha-Pekka Väisänen,MUUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
107724867561444,Liike Nyt Lahti,MUUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
755396851513090,Tero Koski,MUUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
1186584338158350,Marita Knevel,MUUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
545309265626080,Kela - Fpa,MUUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
103081082718866,Olli-Pekka Mäkipeura,MUUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
561462751021029,Pekka Ranta,MUUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
250205869228375,Heidi Alariesto,MUUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
148321055184716,Raoul Plommer,MUUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
361761681071572,Janne Rummakko,MUUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
396080180501217,Jonna Purojärvi,MUUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
2054704601519880,Aaro Kustaanheimon Lipas- ja asepolitiikka,MUUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
295688827996999,Baba Fagerström,MUUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
569342256593821,Anton Murola,MUUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
474666389342298,Liberaalipuolue,MUUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
298729230785002,Sakari Tikander,MUUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
311176426363089,Minna Karvonen,MUUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
108424785411810,Ville Laine poliitikko,MUUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
177985095572609,Olli Kopakkala,MUUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
1731611277166900,Henri Nieminen,MUUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
297025667654067,Emilia Taskinen,MUUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
2292762907609490,Johanna Röholm,MUUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
376576889210655,Janne Uotila,MUUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
1675173476066960,Aarno Lyytinen,MUUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
2507002635996200,Jan Österlund,MUUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
614922672262844,Nina J. Hedkrok,MUUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
334844640234586,Julia Kuu Järvinen,MUUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
314316069269600,Silja Pulkkinen,MUUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
197404463609152,Olli Heikkilä,MUUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
2026796497613390,Luka Ekala,MUUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
632342677162632,Rehtiliike,MUUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
1833781313550040,Kaj Torrkulla,MUUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
261929353938587,Elinkeinoelämän keskusliitto EK,MUUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
1452284778241740,Terhi Heimonen,MUUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
350628269116805,Tero Hannula,MUUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
1.40689e+15,Peter Fryckman,MUUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
126303240746397,Arto Lampila,MUUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
346327162750731,Riku Mäkirinne,MUUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
394760761306097,Ugur Yildiz,MUUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
584553805322681,Laura Lähteenmäki,MUUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
1264064913742650,Mikko Keinonen,MUUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
597413830448153,Annamaija Saarela,MUUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
271976800087258,Kieltolaki kumoon 2020,MUUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
234440850778087,Tuija Järvinen,MUUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
284528921908764,Mirita Saxberg,MUUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
798199683851725,Nina Nummela,MUUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
368357310229846,Mika Saari,MUUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
286454275407320,Anita Korhonen,MUUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
650605042022749,Miska Karhu,MUUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
100547305507785,Liike Nyt Satakunta,MUUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
338424506210174,Akseli Erkkilä,MUUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
142664169078424,Janne Paalijärvi,MUUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
248094442746512,Jaakko Ukkola,MUUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
1883115551907600,Sirpa Acquah,MUUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
239066873669762,Shennandoah Beaumont,MUUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
1542121049375450,Antti Simola,MUUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
1558261661134670,Marko Kettunen,MUUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
948099988727826,Eija Riihilahti,MUUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
456198621089330,Ossi Kähmi,MUUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
623638861409501,Satu Kurki,MUUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
918225095048303,Jani Meronen,MUUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
105865605737255,"Anu Åman, Eduskuntavaaliehdokas, Liike Nyt",MUUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
1237390423090700,Antti Lasanen,MUUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
456060904825066,Uudenmaan Liberaalit,MUUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
568828026890444,Sami Kilpeläinen,MUUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
485833818102053,Arto Viitaniemi,MUUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
108946641293949,"Mikko Luomala, poliitikko",MUUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
357824214618558,Asko Nurminen,MUUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
611696415923639,Satu Jaatinen,MUUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
508034216358831,Tomas Kurenniemi,MUUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
373534436713222,Mika Piiroinen,MUUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
786059891464152,Lena Wiksten,MUUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
248518729427139,Jani Tuononen,MUUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
482712555591121,Teemu Soini,MUUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
567686743649178,Tiina Ollila,MUUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
190027651015917,Tapani Karvinen,MUUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
352218021623607,Toni Kallioinen,MUUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
711520618881714,Yakup Yilmaz,MUUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
100851836215888,Heidi Jaari,MUUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
1330727950398580,Erika Keski-Korhonen,MUUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
212986565382323,Lauri Alhojärvi,MUUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
443630416028756,Jumalauta,MUUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
121308187931526,Matti Eskelinen,MUUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
504611832901185,Sebastian Mäki,MUUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
361974700672610,Eläinoikeuspuolue,MUUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
2230702990586460,Karoliina Kähönen,MUUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
1989024481392460,Linnea Tuominen,MUUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
496323260897309,Joni Heikkilä,MUUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
309056419807802,Annele Wiman,MUUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
